MAIN POWER ON D,NEC1,232,26,42
MAIN POWER ON C,NEC1,232,26,84
MAIN POWER OFF C,NEC1,232,26,85
MAIN POWER OFF D,NEC1,232,26,170
POWER,NEC1,26,-1,128
POWER,NEC2,26,-1,128
PHONO,NEC1,26,-1,134
FM MONO MODE,NEC1,26,232,20
BYPASS ON,NEC1,26,232,22
BYPASS OFF,NEC1,26,232,23
POWER ON,NEC1,26,232,84
POWER ON,NEC2,26,232,84
POWER OFF,NEC1,26,232,85
POWER OFF,NEC2,26,232,85
MUTE ON,NEC1,26,232,86
MUTE OFF,NEC1,26,232,87
POWER,Aiwa,81,0,0
PHONO,Aiwa,81,0,12
MAIN POWER ON B,NEC1,88,23,42
MAIN POWER ON A,NEC1,88,23,84
MAIN POWER OFF A,NEC1,88,23,85
MAIN POWER OFF B,NEC1,88,23,170
