OFF,NEC2,11,79,1
POWER OFF,NEC2,11,79,1
ON,NEC2,11,79,2
POWER ON,NEC2,11,79,2
MONO,NEC2,11,79,154
POWER TOGGLE,NEC2,11,79,162
ST/MONO,NEC2,11,79,235
BK003 POWER OFF,NEC2,139,71,1
BK003 POWER ON,NEC2,139,71,2
BK003 DIMENSION+,NEC2,139,71,129
BK003 MONO,NEC2,139,71,154
BK003 DIMENSION-,NEC2,139,71,254
BK005 POWER OFF,NEC2,203,67,1
BK005 POWER ON,NEC2,203,67,2
BK005 DIMENSION+,NEC2,203,67,129
BK005 MONO,NEC2,203,67,154
BK005 DIMENSION-,NEC2,203,67,254
OFF,NEC2,27,78,1
POWER OFF,NEC,27,78,1
POWER_OFF,NEC2,27,78,1
Z2 OFF,NEC,27,78,1
POWER OFF,NEC2,27,78,1
BK001 POWER OFF,NEC2,27,78,1
ON,NEC2,27,78,2
POWER ON,NEC2,27,78,2
POWER_ON,NEC2,27,78,2
Z2 ON,NEC2,27,78,2
BK001 POWER ON,NEC2,27,78,2
STATION -,NEC2,27,78,23
TUNER_STATION-,NEC2,27,78,23
STATION +,NEC2,27,78,24
TUNER_STATION+,NEC2,27,78,24
VIDEO_CONTRAST-,NEC2,27,78,52
HEADPHONE,NEC2,27,78,62
INFORMATION,NEC2,27,78,83
VIDEO_CONTROL_OFF,NEC2,27,78,86
BK001 DIMENSION+,NEC2,27,78,129
AUDIO_MONO,NEC2,27,78,154
MONO,NEC2,27,78,154
BK001 MONO,NEC2,27,78,154
VIDEO_CONTRAST+,NEC2,27,78,212
VIDEO_CONTROL_ON,NEC2,27,78,214
TUNER_STEREO_MONO,NEC2,27,78,235
BK001 DIMENSION-,NEC2,27,78,254
POWER,Aiwa,5,1,25
POWER,Aiwa,6,1,25
